"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"K200701_001E","Estimate!!Total:"
"K200701_001M","Margin of Error!!Total:"
"K200701_001MA","Annotation of Margin of Error!!Total:"
"K200701_001EA","Annotation of Estimate!!Total:"
"K200701_002E","Estimate!!Total:!!Same house 1 year ago"
"K200701_002EA","Annotation of Estimate!!Total:!!Same house 1 year ago"
"K200701_002M","Margin of Error!!Total:!!Same house 1 year ago"
"K200701_002MA","Annotation of Margin of Error!!Total:!!Same house 1 year ago"
"K200701_003E","Estimate!!Total:!!Moved within same county"
"K200701_003EA","Annotation of Estimate!!Total:!!Moved within same county"
"K200701_003M","Margin of Error!!Total:!!Moved within same county"
"K200701_003MA","Annotation of Margin of Error!!Total:!!Moved within same county"
"K200701_004E","Estimate!!Total:!!Moved from different county within same state"
"K200701_004EA","Annotation of Estimate!!Total:!!Moved from different county within same state"
"K200701_004M","Margin of Error!!Total:!!Moved from different county within same state"
"K200701_004MA","Annotation of Margin of Error!!Total:!!Moved from different county within same state"
"K200701_005E","Estimate!!Total:!!Moved from different state"
"K200701_005EA","Annotation of Estimate!!Total:!!Moved from different state"
"K200701_005M","Margin of Error!!Total:!!Moved from different state"
"K200701_005MA","Annotation of Margin of Error!!Total:!!Moved from different state"
"K200701_006E","Estimate!!Total:!!Moved from abroad"
"K200701_006M","Margin of Error!!Total:!!Moved from abroad"
"K200701_006MA","Annotation of Margin of Error!!Total:!!Moved from abroad"
"K200701_006EA","Annotation of Estimate!!Total:!!Moved from abroad"
